
9/12/2019 : (Thursday)12:50:5
millis,Volt,Current,Power(kW),Energy(kJ),Analog Input 2,Analog Input 3,RPM,X-Accel(m/s^2),Y-Accel(m/s^2),Z-Accel(m/s^2),DIGIN_4
30000,0.0,2.0,0.0,0,0.00,0.00,0.00,-0.27,0.04,10.04,1,
30200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.31,0.04,10.04,1,
30400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.04,9.96,1,
30600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.12,0.04,10.04,1,
30800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.16,0.04,10.04,1,
31000,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.51,0.04,10.04,1,
31200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.08,10.00,1,
31400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.20,0.00,10.04,1,
31600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.35,0.04,10.00,1,
31800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.04,10.04,1,
32000,0.0,2.0,0.0,0,0.00,0.00,0.00,-0.43,0.04,10.00,1,
32200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.31,0.04,10.04,1,
32400,0.0,1.2,0.0, ,0.00,0.00,0.00,-0.39,0.00,9.89,1,
32600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.35,0.08,10.00,1,
32800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.04,10.04,1,
33000,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.31,0.04,10.04,1,
33200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.04,10.04,1,
33400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.27,9.89,1,
33600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.35,0.08,10.04,1,
33800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.04,10.00,1,
34000,0.0,2.0,0.0,0,0.00,0.00,0.00,-0.24,0.04,10.00,1,
34200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.35,0.04,10.00,1,
34400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.00,10.08,1,
34600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.04,10.04,1,
34800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.04,10.04,1,
35000,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.31,0.04,10.04,1,
35200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.04,10.00,1,
35400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.24,9.81,1,
35600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.04,0.04,9.92,1,
35800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.47,0.12,10.04,1,
36000,0.0,2.0,0.0,0,0.00,0.00,0.00,-0.27,0.04,10.00,1,
36200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.04,10.00,1,
36400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.31,0.04,9.73,1,
36600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.35,0.08,10.04,1,
36800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.04,10.00,1,
37000,0.0,1.2,0.0, ,0.00,0.00,0.00,-0.20,0.04,10.04,1,
37200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.04,10.00,1,
37400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.35,0.16,10.00,1,
37600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.04,10.04,1,
37800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.20,0.04,10.04,1,
38000,0.0,2.0,0.0,0,0.00,0.00,0.00,-0.27,0.04,10.04,1,
38200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.35,0.08,10.04,1,
38400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.04,9.81,1,
38600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.04,9.96,1,
38800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.39,0.12,10.04,1,
39000,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.04,10.00,1,
39200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.04,10.04,1,
39400,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.04,10.24,1,
39600,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.24,0.08,10.00,1,
39800,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.27,0.04,10.04,1,
40000,0.0,2.0,0.0,0,0.00,0.00,0.00,-0.39,0.04,10.00,1,
40200,0.0,2.0,0.0, ,0.00,0.00,0.00,-0.39,0.08,10.04,1,
